TEST#,INITIALIZE QUEUE,FORM TREE,ENCODE4,INITIALIZE QUEUE, FORM TREE, DECODE, TOTAL (SEC)
test1.txt,0,15,130,1,9,0,0
test2.txt,6,8,125,0,0,0,0
test3.txt,31,31,671,0,15,0,0
test4.txt,62,6,828,0,31,0,0
test5.txt,299,83,2359,3,17,0,3
TEST#,INITIALIZE QUEUE,FORM TREE,ENCODE3,INITIALIZE QUEUE, FORM TREE, DECODE, TOTAL (SEC)
test1.txt,0,15,109,0,0,0,0
test2.txt,0,0,140,0,15,0,0
test3.txt,31,31,628,0,15,0,0
test4.txt,61,0,867,1,16,0,1
test5.txt,296,93,2680,0,31,0,3
TEST#,INITIALIZE QUEUE,FORM TREE,ENCODE4,INITIALIZE QUEUE, FORM TREE, DECODE, TOTAL (SEC)
test1.txt,0,15,93,0,15,0,0
test2.txt,15,15,125,0,15,0,0
test3.txt,31,31,593,0,0,0,0
test4.txt,62,15,843,1,19,0,1
test5.txt,281,93,2352,2,23,0,3
test6.txt,1453,15,6271,0,15,0,9
TEST#,READ from file,INITIALIZE QUEUE,FORM TREE,ENCODE4,INITIALIZE QUEUE, FORM TREE, DECODE, TOTAL (SEC)
test1.txt,0,0,15,105,0,0,0,0
test2.txt,46,15,15,140,0,15,0,0
test3.txt,125,31,31,610,0,15,0,0
test4.txt,1102,49,15,834,15,31,0,2
test5.txt,10617,281,78,2352,15,15,0,13
test6.txt,105880,1414,31,5169,7,32,0,113
TEST#,READ from file,INITIALIZE QUEUE,FORM TREE,ENCODE4,INITIALIZE QUEUE, FORM TREE, DECODE, TOTAL (SEC)
0,0,15,0,0,0,0
TEST#,READ from file,INITIALIZE QUEUE,FORM TREE,ENCODE4,INITIALIZE QUEUE, FORM TREE, DECODE, TOTAL (SEC)
140109,6,111,0,0,93,280
TEST#,READ from file,INITIALIZE QUEUE,FORM TREE,ENCODE4,INITIALIZE QUEUE, FORM TREE, DECODE, TOTAL (SEC)
5539,6,149,0,15,109,11
TEST#,READ from file,INITIALIZE QUEUE,FORM TREE,ENCODE4,INITIALIZE QUEUE, FORM TREE, DECODE, TOTAL (SEC)
12255,0,15,0,0,0,24
TEST#,READ from file,INITIALIZE QUEUE,FORM TREE,ENCODE4,INITIALIZE QUEUE, FORM TREE, DECODE, TOTAL (SEC)
33673,0,15,0,0,0,67
